ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
59,"[2, 64, 128, 64, 32, 16, 1]",swish,RMSProp,30,0.007505845472793475,0.0013359345789082779
60,"[2, 64, 128, 64, 32, 16, 1]",swish,RMSProp,60,0.0076725179135332874,0.0011506905465312703
61,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,AdamW,30,0.007475364701927622,0.0014289874571532966
62,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,AdamW,60,0.007456708347346716,0.0012777856577085068
63,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,RMSProp,30,0.006953710246696878,0.0017531878458812123
64,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,RMSProp,60,0.006928247354207916,0.0015322638129572123
65,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,AdamW,30,0.43389459854186385,0.0017769323661646964
66,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,AdamW,60,0.3766608088747292,0.0011512019706673908
67,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,RMSProp,30,0.3451192056013804,0.0008930126999778836
68,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,RMSProp,60,0.4056661040059396,0.0008592711300992666
69,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,AdamW,30,0.008121913954393042,0.0037734545599240753
70,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,AdamW,60,0.008739626490274094,0.006546104857613409
71,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,RMSProp,30,0.0074902220891056035,0.001033835837930216
72,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,RMSProp,60,0.007343586396940712,0.0011832079082343498
