ID,Arquitectura,Activación,Optimizador,Batch_Size,Lambda,Eta,Loss_Final_Entrenamiento,Loss_Final_Predicción,Dropout_Rate
178,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.1,0.1,0.6152729515818055,0.7153591874748455,0.0
179,"[3, 32, 64, 32, 16, 1]",swish,AdamW,10,0.1,0.1,0.6151983466923571,0.7152869104830897,0.2
181,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.0,0.001,0.0030221467914342457,0.0023078160578854983,0.0
187,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.01,0.001,0.287968461684129,0.27265278963372186,0.0
190,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.01,0.1,0.5205123461094359,0.5998895353921915,0.0
193,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.001,0.6164778273399053,0.720024369602756,0.0
196,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6132599872951969,0.7134110937065736,0.0
197,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6134010101231215,0.7135604388274027,0.2
198,"[3, 32, 64, 32, 16, 1]",swish,AdamW,20,0.1,0.1,0.6132695088508208,0.7134199389111588,0.5
199,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.0,0.001,0.0037868826931968993,0.0029671423634077933,0.0
205,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.01,0.001,0.2994541137548284,0.2961712688039692,0.0
208,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.01,0.1,0.5215818875913657,0.6039377192344868,0.0
211,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.001,0.6175092293959844,0.7194060493894725,0.0
214,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.1,0.6173968015484741,0.7137823245317408,0.0
215,"[3, 32, 64, 32, 16, 1]",swish,AdamW,30,0.1,0.1,0.6178174413650598,0.7142109942462416,0.2
