ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
1,"[2, 8, 1]",relu,AdamW,30,0.18137954472797277,0.06550385356196987
2,"[2, 8, 1]",relu,AdamW,60,0.29828461339985524,0.9170945607680301
3,"[2, 8, 1]",relu,RMSProp,30,0.21140629864109947,0.0863145323341781
4,"[2, 8, 1]",relu,RMSProp,60,0.320809923942396,0.7290906483919842
5,"[2, 8, 1]",tanh,AdamW,30,0.1661632248405148,0.1292304457208766
6,"[2, 8, 1]",tanh,AdamW,60,0.20411878651449955,0.06995889290068763
7,"[2, 8, 1]",tanh,RMSProp,30,0.13303062106659277,0.3185699109579607
8,"[2, 8, 1]",tanh,RMSProp,60,0.2319568623702576,0.09752672080842059
9,"[2, 8, 1]",swish,AdamW,30,0.2032759929626543,0.04682868962143294
10,"[2, 8, 1]",swish,AdamW,60,0.2299437399164769,0.13113517088354176
11,"[2, 8, 1]",swish,RMSProp,30,0.2795663941349959,0.39572232449740263
12,"[2, 8, 1]",swish,RMSProp,60,0.2966987887196946,0.5107875639238417
13,"[2, 16, 16, 1]",relu,AdamW,30,0.12435893671832966,0.23577730343295222
14,"[2, 16, 16, 1]",relu,AdamW,60,0.204485637376157,0.06105845753172228
15,"[2, 16, 16, 1]",relu,RMSProp,30,0.15191970213062123,0.12455874220365676
16,"[2, 16, 16, 1]",relu,RMSProp,60,0.1461521373948901,0.1219918355854891
17,"[2, 16, 16, 1]",tanh,AdamW,30,0.10094799794786578,0.2346533113636973
18,"[2, 16, 16, 1]",tanh,AdamW,60,0.12238567935960794,0.35243203236245574
19,"[2, 16, 16, 1]",tanh,RMSProp,30,0.10738177586862517,0.30425043709212324
20,"[2, 16, 16, 1]",tanh,RMSProp,60,0.10978600134750019,0.30944870755998133
21,"[2, 16, 16, 1]",swish,AdamW,30,0.12716889235134876,0.4401201124961704
22,"[2, 16, 16, 1]",swish,AdamW,60,0.17742268010106038,0.08315336128241572
23,"[2, 16, 16, 1]",swish,RMSProp,30,0.09651177317373796,0.36198422596518487
24,"[2, 16, 16, 1]",swish,RMSProp,60,0.16836534232692232,0.07821327903393281
25,"[2, 32, 64, 16, 1]",relu,AdamW,30,0.06255014075713497,0.05192424473428081
26,"[2, 32, 64, 16, 1]",relu,AdamW,60,0.08132675177769605,0.0819674924007315
27,"[2, 32, 64, 16, 1]",relu,RMSProp,30,0.058138035850729734,0.043147936135943143
28,"[2, 32, 64, 16, 1]",relu,RMSProp,60,0.09630079161311095,0.38491526034020973
29,"[2, 32, 64, 16, 1]",tanh,AdamW,30,0.06744105933167262,0.03437532106470537
30,"[2, 32, 64, 16, 1]",tanh,AdamW,60,0.0789750012673228,0.07613026021762971
31,"[2, 32, 64, 16, 1]",tanh,RMSProp,30,0.061142661581709584,0.03004604422870697
32,"[2, 32, 64, 16, 1]",tanh,RMSProp,60,0.07112047449253822,0.03230215470827964
33,"[2, 32, 64, 16, 1]",swish,AdamW,30,0.06723519987153913,0.1137240321976659
34,"[2, 32, 64, 16, 1]",swish,AdamW,60,0.08945123861580143,0.3029850650904447
35,"[2, 32, 64, 16, 1]",swish,RMSProp,30,0.06250688353405527,0.08128925054770626
36,"[2, 32, 64, 16, 1]",swish,RMSProp,60,0.08936004923562842,0.22086750016309184
37,"[2, 128, 64, 16, 1]",relu,AdamW,30,0.052043924567130306,0.02930259261818511
38,"[2, 128, 64, 16, 1]",relu,AdamW,60,0.058557924008435416,0.03258685983243941
39,"[2, 128, 64, 16, 1]",relu,RMSProp,30,0.04697317527037532,0.02880104878391516
40,"[2, 128, 64, 16, 1]",relu,RMSProp,60,0.05733519748645582,0.0366237021412621
41,"[2, 128, 64, 16, 1]",tanh,AdamW,30,0.06667928542522181,0.02979461518617434
42,"[2, 128, 64, 16, 1]",tanh,AdamW,60,0.08812119247627268,0.04843815077641418
43,"[2, 128, 64, 16, 1]",tanh,RMSProp,30,0.05863904336457474,0.029792278221518618
44,"[2, 128, 64, 16, 1]",tanh,RMSProp,60,0.08438746677507014,0.02979208125118666
45,"[2, 128, 64, 16, 1]",swish,AdamW,30,0.05757446758951829,0.04805364966233634
46,"[2, 128, 64, 16, 1]",swish,AdamW,60,0.07006552698482028,0.11681781653595207
47,"[2, 128, 64, 16, 1]",swish,RMSProp,30,0.04900728177087184,0.03452079484254847
48,"[2, 128, 64, 16, 1]",swish,RMSProp,60,0.053600387909581576,0.0331145011089889
49,"[2, 64, 128, 64, 32, 16, 1]",relu,AdamW,30,0.040222730795729356,0.02864638752156007
50,"[2, 64, 128, 64, 32, 16, 1]",relu,AdamW,60,0.046472284913624554,0.028728334019523467
51,"[2, 64, 128, 64, 32, 16, 1]",relu,RMSProp,30,0.041075537112974424,0.030320373394614464
52,"[2, 64, 128, 64, 32, 16, 1]",relu,RMSProp,60,0.03753553056392161,0.032800145173063094
53,"[2, 64, 128, 64, 32, 16, 1]",tanh,AdamW,30,0.061827161246704,0.029662677182915147
54,"[2, 64, 128, 64, 32, 16, 1]",tanh,AdamW,60,0.06757897236541799,0.029671393789272006
55,"[2, 64, 128, 64, 32, 16, 1]",tanh,RMSProp,30,0.05917315475466888,0.029890993208069604
56,"[2, 64, 128, 64, 32, 16, 1]",tanh,RMSProp,60,0.06266339117837752,0.029700051195209805
57,"[2, 64, 128, 64, 32, 16, 1]",swish,AdamW,30,0.047323304767785825,0.03785915589887722
58,"[2, 64, 128, 64, 32, 16, 1]",swish,AdamW,60,0.04928101335994116,0.0386169174311951
59,"[2, 64, 128, 64, 32, 16, 1]",swish,RMSProp,30,0.04626945058314855,0.037855044387824596
60,"[2, 64, 128, 64, 32, 16, 1]",swish,RMSProp,60,0.044505246509626804,0.046299769548461905
61,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,AdamW,30,0.0334288864436486,0.044980187121166276
62,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,AdamW,60,0.03980556013054635,0.028330879760559684
63,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,RMSProp,30,0.03657958866465605,0.03184967362938663
64,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",relu,RMSProp,60,0.03582598982626099,0.03019633204232729
65,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,AdamW,30,0.08163499698610116,0.029848298576326267
66,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,AdamW,60,0.10231100610708097,0.029443823164588028
67,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,RMSProp,30,0.08671195258056884,0.0268274010634478
68,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",tanh,RMSProp,60,0.0946637119653215,0.027904254226944748
69,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,AdamW,30,0.04235230663898651,0.036221533065358955
70,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,AdamW,60,0.047346969549829254,0.04101327116446271
71,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,RMSProp,30,0.039049085403540795,0.3027125138064035
72,"[2, 128, 256, 32, 64, 32, 16, 8, 1]",swish,RMSProp,60,0.035913454333159435,0.08890599062975275
